name,ring,quadrant,isNew,status,description
Apache Hadoop,Adopt,Tools,TRUE,new,"Apache Hadoop ist ein Framework für die verteilte Speicherung und Verarbeitung großer Datenmengen. Es wird häufig in Big-Data-Umgebungen eingesetzt. <a href=""https://hadoop.apache.org/"">Quelle</a>"
Data Governance,Adopt,Techniques,TRUE,new,"Data Governance umfasst Richtlinien und Verfahren zur Verwaltung und Kontrolle von Daten innerhalb einer Organisation. <a href=""https://www.pwc.de/de/data-and-ai/datenmanagement-im-kontext-von-kuenstlicher-intelligenz-ki.html"">Quelle</a>"
Cloud Computing,Trial,Platforms,TRUE,new,"Cloud Computing ermöglicht die flexible Nutzung von IT-Ressourcen über das Internet. Es ist besonders wichtig für die Skalierung von Datenmanagementlösungen. <a href=""https://brainhub.eu/de/library/digitale-transformations-technologien"">Quelle</a>"
Blockchain,Assess,Tools,TRUE,new,"Blockchain-Technologie bietet sichere und transparente Transaktionen durch dezentrale Datenbanken. <a href=""https://bing.com/search?q=Technologien+in+der+Digitalisierung"">Quelle</a>"
Internet der Dinge (IoT),Assess,Tools,TRUE,new,"IoT vernetzt Geräte, um Daten auszutauschen und Prozesse zu automatisieren. <a href=""https://bing.com/search?q=Technologien+in+der+Digitalisierung"">Quelle</a>"
Künstliche Intelligenz (KI),Adopt,Techniques,TRUE,new,"KI wird in der Finanzbranche zur Automatisierung und Analyse eingesetzt. <a href=""https://klardenker.kpmg.de/financialservices-hub/technologietrends-2025-fuer-die-finanzbranche/"">Quelle</a>"
FORST live,Trial,Platforms,TRUE,new,"FORST live ist eine Messe in Offenburg, die sich auf Forsttechnik und Maschinen konzentriert. <a href=""https://www.veranstaltungen-in-deutschland.de/"">Quelle</a>"
AERO Friedrichshafen,Trial,Platforms,TRUE,new,"AERO Friedrichshafen ist eine globale Plattform für die Allgemeine Luftfahrt. <a href=""https://www.veranstaltungen-in-deutschland.de/"">Quelle</a>"
Crowdstartup,Assess,languages-and-frameworks,TRUE,new,"Crowdstartup bietet Tipps und Tricks zur Suche nach Geschäftspartnern und Investoren. <a href=""https://crowdstartup.co/existenzgruendung/geschaeftspartner-gesucht-tipps/"">Quelle</a>"
Unternehmensbörse,Assess,languages-and-frameworks,TRUE,new,"Unternehmensbörse hilft bei der Suche nach Geschäftspartnern und bietet Ratschläge zur erfolgreichen Partnerschaft. <a href=""https://unternehmensboerse.me/magazin-geschaeftspartner-gesucht/"">Quelle</a>"
Apache Spark,Adopt,Tools,TRUE,new,"Apache Spark ist ein Framework für die schnelle Verarbeitung großer Datenmengen. Es wird häufig für Big-Data-Analysen verwendet. <a href=""https://spark.apache.org/"">Quelle</a>"
Data Lakes,Trial,Techniques,TRUE,new,"Data Lakes sind Speicherlösungen, die große Mengen unstrukturierter Daten speichern und analysieren können. <a href=""https://www.acquisa.de/magazin/datenmanagement"">Quelle</a>"
Machine Learning,Adopt,Techniques,TRUE,new,"Machine Learning ermöglicht die Erstellung von Modellen, die aus Daten lernen und Vorhersagen treffen können. <a href=""https://brainhub.eu/de/library/digitale-transformations-technologien"">Quelle</a>"
Cybersecurity,Assess,Tools,TRUE,new,"Cybersecurity umfasst Technologien und Verfahren zum Schutz von Daten und Systemen vor Cyberangriffen. <a href=""https://klardenker.kpmg.de/financialservices-hub/technologietrends-2025-fuer-die-finanzbranche/"">Quelle</a>"
Data Fabric,Assess,Tools,TRUE,new,"Data Fabric ist eine Architektur, die Datenmanagement und -integration über verschiedene Plattformen hinweg ermöglicht. <a href=""https://xpert.digital/datenmanagement-systeme-im-wandel/"">Quelle</a>"
Generative AI,Trial,Techniques,TRUE,new,"Generative KI kann Inhalte wie Texte, Bilder und Modelle erstellen und wird zunehmend in der Forschung und Produktentwicklung eingesetzt. <a href=""https://www.gecko.de/wissenshub/die-10-top-trends-2025-in-der-digitalisierung/"">Quelle</a>"
Hannover Messe,Trial,Platforms,TRUE,new,"Die Hannover Messe ist eine der weltweit größten Industriemessen, die sich auf industrielle Technologien und Digitalisierung konzentriert. <a href=""https://www.veranstaltungen-in-deutschland.de/"">Quelle</a>"
CeBIT,Trial,Platforms,TRUE,new,"CeBIT ist eine bedeutende Messe für Informationstechnologie und Digitalisierung, die jährlich in Hannover stattfindet. <a href=""https://www.veranstaltungen-in-deutschland.de/"">Quelle</a>"
SAP,Assess,languages-and-frameworks,TRUE,new,"SAP ist ein führendes Unternehmen im Bereich Unternehmenssoftware und bietet Lösungen für Datenmanagement und Digitalisierung. <a href=""https://www.sap.com/germany/index.html"">Quelle</a>"
Deutsche Telekom,Assess,languages-and-frameworks,TRUE,new,"Deutsche Telekom ist ein führender Anbieter von Telekommunikations- und IT-Dienstleistungen und ein potenzieller Partner für Digitalisierungslösungen. <a href=""https://www.telekom.com/de"">Quelle</a>"
